Phlebovirus riftense	Complete	2007002445	S	EU574064	1691	48.90597	1691	2007-02-05	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007002444	S	EU574065	1691	48.90597	1691	2007-02-05	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007002060	S	EU574066	1691	48.846836	1691	2007-01-31	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007002059	S	EU574067	1690	49.112427	1690	2007-02-07	2007	Kenya	Africa	ovine	Sheep	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001811	S	EU574068	1690	49.112427	1690	2006-12-01	2006	Kenya	Africa	caprine	Goat	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001809	S	EU574069	1691	48.90597	1691	2006-12-01	2006	Kenya	Africa	caprine	Goat	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001800	S	EU574070	1691	48.7877	1691	2007-01-26	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001602	S	EU574071	1691	48.846836	1691	2007-01-30	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001564	S	EU574072	1690	49.112427	1690	2007-01-29	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001443	S	EU574073	1691	48.90597	1691	2007-01-31	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001292	S	EU574074	1691	48.90597	1691	2007-01-31	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001107	S	EU574075	1691	48.90597	1691	2007-01-25	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000665	S	EU574076	1690	49.171597	1690	2007-01-26	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000618	S	EU574077	1691	48.90597	1691	2007-01-29	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000611	S	EU574078	1691	48.90597	1691	2007-01-29	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000608	S	EU574079	1691	48.90597	1691	2007-01-29	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000473	S	EU574080	1691	48.90597	1691	2007-01-26	2007	Kenya	Africa	ovine	Sheep	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000226	S	EU574081	1691	48.96511	1691	2007-01-16	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000225	S	EU574082	1691	48.96511	1691	2007-01-16	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000224	S	EU574083	1691	48.96511	1691	2007-01-16	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000223	S	EU574084	1691	48.96511	1691	2007-01-16	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000222	S	EU574085	1691	48.90597	1691	2007-01-16	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000094	S	EU574086	1690	49.171597	1690	2007-01-12	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000080	S	EU574087	1691	48.846836	1691	2007-01-12	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	SPU77RSA08	S	EU709747	1690	48.994083	1690	2008	2008	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU152RSA08	S	EU709748	1691	48.90597	1691	2008	2008	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	Sudan 2V-2007	S	JQ820472	1691	49.201656	1691	2007	2007	Sudan	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	Sudan 28-2010	S	JQ820474	1690	49.171597	1690	2010-10	2010	Sudan	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	Sudan 4-2010	S	JQ820473	1690	49.171597	1690	2010-10	2010	Sudan	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	Sudan 34-2010	S	JQ820475	1690	49.171597	1690	2010-10	2010	Sudan	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	Sudan 85-2010	S	JQ820476	1691	49.08338	1691	2010-10	2010	Sudan	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	Namibia_2011	L	MT561464	6345	43.372734	6345	2011-07-30	2011	Namibia	Africa	Springbok		
Phlebovirus riftense	Complete	Namibia_2010	L	MT561461	6404	43.89444	6404	2010-07-30	2010	Namibia	Africa	Ovine	Sheep	Nonhuman Mammal
Phlebovirus riftense	Complete	Namibia_2010	M	MT561460	3885	45.585587	3885	2010-07-30	2010	Namibia	Africa	Ovine	Sheep	Nonhuman Mammal
Phlebovirus riftense	Complete	Namibia_2011	S	MT561462	1690	49.171597	1690	2011-07-30	2011	Namibia	Africa	Springbok		
Phlebovirus riftense	Complete	Namibia_2010	S	MT561459	1690	49.171597	1690	2010-07-30	2010	Namibia	Africa	Ovine	Sheep	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-230	M	OM744365	3882	45.569294	3882	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-321	M	OM744366	3884	45.571575	3884	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-333	M	OM744367	3879	45.55298	3879	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-372	M	OM744369	3881	45.55527	3881	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-356	M	OM744368	3874	45.560146	3874	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-230	S	OM744370	1689	49.20071	1689	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-321	S	OM744371	1690	49.171597	1690	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-333	S	OM744372	1689	49.20071	1689	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-356	S	OM744373	1689	49.20071	1689	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-372	S	OM744374	1690	49.171597	1690	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-230	L	OM744375	6397	43.426605	6397	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-321	L	OM744376	6399	43.42866	6399	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-333	L	OM744377	6397	43.442238	6397	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-356	L	OM744378	6396	43.433395	6396	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	DVS-372	L	OM744379	6400	43.421875	6400	2021-07-15	2021	Kenya	Africa	Bos taurus	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	Ar 118	M	MG659733	3885	45.353924	3885	1955	1955	South Africa	Africa	Aedes circumluteolus (mosquito)		
Phlebovirus riftense	Complete	SPU59/10	M	MG659734	3885	45.637066	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA62/10	M	MG659735	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU68/10	M	MG659736	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA71/10	M	MG659737	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA76/10	M	MG659738	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA79/10	M	MG659739	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA85/10	M	MG659740	3885	45.508366	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU86/10	M	MG659741	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA93/10	M	MG659742	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA95/10	M	MG659743	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU97/10	M	MG659744	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU100/10	M	MG659745	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA106/10	M	MG659747	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA103/10	M	MG659746	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA110/10	M	MG659748	3885	45.662807	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA122/10	M	MG659749	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	Sudan 2V-2007	L	JQ820483	6397	43.348446	6397	2007	2007	Sudan	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU126/10	M	MG659750	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA135/10	M	MG659752	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA128/10	M	MG659751	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA165/10	M	MG659753	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA206/10	M	MG659754	3885	45.534107	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA225/10	M	MG659756	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA220/10	M	MG659755	3885	45.662807	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA226/10	M	MG659757	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA250/10	M	MG659758	3885	45.62307	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA257/10	M	MG659759	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA287/10	M	MG659760	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA317/10	M	MG659761	3885	45.508366	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA322/10	M	MG659762	3885	45.494335	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA336/10	M	MG659763	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA344/10	M	MG659764	3885	45.534107	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA377/10	M	MG659765	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA394/10	M	MG659766	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA395/10	M	MG659767	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA414/10	M	MG659768	3885	45.534107	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA424/10	M	MG659770	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA472/10	M	MG659771	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA420/10	M	MG659769	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA482/10	M	MG659772	3885	45.637066	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA484/10	M	MG659773	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA509/10	M	MG659774	3885	45.637066	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA535/10	M	MG659775	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA591/10	M	MG659777	3885	45.637066	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA538/10	M	MG659776	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA632/10	M	MG659778	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA633/10	M	MG659779	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA635/10	M	MG659780	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA665/10	M	MG659782	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA638/10	M	MG659781	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA705/10	M	MG659783	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA746/10	M	MG659784	3885	45.534107	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA770/10	M	MG659785	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA918/10	M	MG659786	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1061/10	M	MG659787	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1081/10	M	MG659788	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1092/10	M	MG659789	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1167/10	M	MG659790	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1098/10	M	MG659792	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1095/10	M	MG659791	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1143/10	M	MG659793	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1171/10	M	MG659794	3885	45.559845	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1224/10	M	MG659795	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1282/10	M	MG659796	3885	45.534107	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1372/10	M	MG659798	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1405/10	M	MG659799	3885	45.637066	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1457/10	M	MG659800	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1518/10	M	MG659801	3885	45.534107	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1601/10	M	MG659802	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1797/10	M	MG659803	3885	45.611324	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA1329/10	M	MG659797	3885	45.585587	3885	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA67/11	M	MG659804	3885	45.662807	3885	2011	2011	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA295/11	M	MG659805	3885	45.637066	3885	2011	2011	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA320/11	M	MG659806	3885	45.611324	3885	2011	2011	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA327/11	M	MG659807	3885	45.662807	3885	2011	2011	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA389/11	M	MG659810	3885	45.637066	3885	2011	2011	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA342/11	M	MG659808	3885	45.662807	3885	2011	2011	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA359/11	M	MG659809	3885	45.662807	3885	2011	2011	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA579/11	M	MG659811	3885	45.637066	3885	2011	2011	Namibia	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	B314	M	MG659812	3885	45.302444	3885	1962	1962	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	S35	M	MG659813	3885	45.662807	3885	1972	1972	Kenya	Africa	Ovine	Sheep	Nonhuman Mammal
Phlebovirus riftense	Complete	VRL2051/76	M	MG659814	3885	45.585587	3885	1976	1976	Zimbabwe	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	VRL1217/78	M	MG659815	3885	45.714287	3885	1978	1978	Zimbabwe	Africa	Ovine	Sheep	Nonhuman Mammal
Phlebovirus riftense	Complete	VRL1290/78	M	MG659816	3885	45.740025	3885	1978	1978	Zimbabwe	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	Lunyo	M	MG659817	3885	45.328186	3885	1955	1955	Uganda	Africa	Aedes sp. (mosquito)	Mosquito	Insect
Phlebovirus riftense	Complete	HD21955	M	MG659818	3885	45.456886	3885	1975	1975	Senegal	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU59/10	L	MG659820	6404	43.910057	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	Ar 118	L	MG659819	6404	43.72267	6404	1955	1955	South Africa	Africa	Aedes circumluteolus (mosquito)		
Phlebovirus riftense	Complete	SA62/10	L	MG659821	6404	43.97252	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU68/10	L	MG659822	6404	43.941288	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA71/10	L	MG659823	6404	43.941288	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA76/10	L	MG659824	6404	43.92567	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA79/10	L	MG659825	6404	43.92567	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA85/10	L	MG659826	6404	43.941288	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU86/10	L	MG659827	6404	43.910057	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA93/10	L	MG659828	6404	43.92567	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA95/10	L	MG659829	6404	43.910057	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU100/10	L	MG659831	6404	43.92567	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU97/10	L	MG659830	6404	43.941288	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA103/10	L	MG659832	6404	43.92567	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA110/10	L	MG659834	6404	43.92567	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA106/10	L	MG659833	6404	43.94815	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA122/10	L	MG659835	6404	43.910057	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SPU126/10	L	MG659836	6404	43.92567	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA128/10	L	MG659837	6404	43.9569	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA135/10	L	MG659838	6404	43.941288	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA165/10	L	MG659839	6404	43.910057	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA206/10	L	MG659840	6404	43.92567	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA220/10	L	MG659841	6404	43.89444	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA225/10	L	MG659842	6404	43.910057	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA226/10	L	MG659843	6404	43.92567	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA250/10	L	MG659844	6404	43.941288	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA257/10	L	MG659845	6404	43.89444	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA287/10	L	MG659846	6404	43.92567	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA317/10	L	MG659847	6404	43.92567	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA336/10	L	MG659849	6404	43.941288	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	SA322/10	L	MG659848	6404	43.910057	6404	2010	2010	South Africa	Africa	Homo sapiens	Human	Human
